Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Code Size;Gen0;Allocated
TestForEachIndexOf;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;"6,806.7 ns";49.75 ns;137.85 ns;"6,742.3 ns";240 B;0.0153;32 B
TestForIndexOfWithMemory;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;"2,457.7 ns";14.92 ns;41.58 ns;"2,442.3 ns";215 B;0.0000;0 B
TestForIndexOfWithCompare;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;"1,128.3 ns";9.09 ns;26.08 ns;"1,118.3 ns";72 B;0.0000;0 B
TestForIndexOf;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;723.2 ns;8.57 ns;24.59 ns;713.3 ns;62 B;0.0000;0 B
TestForIndexOfWithSpanAndOneLengthCalling;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;716.2 ns;6.18 ns;17.93 ns;708.4 ns;85 B;0.0000;0 B
TestForIndexOfWithPointerAndDecrement;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;714.3 ns;4.34 ns;12.46 ns;708.2 ns;131 B;0.0000;0 B
TestForIndexOfWithSpan;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;710.5 ns;4.75 ns;13.40 ns;703.7 ns;85 B;0.0000;0 B
TestForIndexOfWithPointerAndBinaryOperator;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;710.4 ns;4.22 ns;11.90 ns;705.2 ns;114 B;0.0000;0 B
TestForIndexOfWithPointer;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;710.3 ns;3.67 ns;10.24 ns;706.2 ns;138 B;0.0000;0 B
TestForIndexOfWithSseAndOneLengthCalling;Job-FDPKPL;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 7.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;200;Default;Default;100;Default;Default;16;Default;308.6 ns;2.12 ns;5.95 ns;306.0 ns;277 B;0.0000;0 B
